Matt Albers 
Ezequiel Astacio  
Brandon Backe  
James Barthmaier 
Taylor Buchholz  
Mike Gallo  
Juan Gutierrez  
Jason Hirsh  
Brad Lidge  
Mark McLemore
Trever Miller
Fernando Nieve
Roy Oswalt
Felipe Paulino
Andy Pettitte
Chad Qualls
Wandy Rodriguez
Russ Springer
Dan Wheeler
Brad Ausmus
Raul Chavez
Hector Gimenez
Humberto Quintero
Jeff Bagwell
Craig Biggio
Eric Bruntlett
Chris Burke
Morgan Ensberg
Adam Everett
Mike Lamb
Josh Anderson
Lance Berkman
Charlton Jimerson
Jason Lane
Orlando Palmeiro
Luke Scott
Willy Taveras
Preston Wilson

